record_id,model_text,language_type,text_hash,split,like_count,love_count,care_count,haha_count,wow_count,sad_count,angry_count,total_reactions,data_origin,text_provenance,reaction_provenance,annotation_provenance,provided_sentiment,neural_v3_candidate_sentiment,neural_v3_sentiment_label,neural_v3_confidence,candidate_sentiment_label,sentiment_label,label_confidence,is_uncertain,sentiment_probability_negative,sentiment_probability_neutral,sentiment_probability_positive,sentiment_probability_mixed,emotion_probability_joy,emotion_probability_affection,emotion_probability_amusement,emotion_probability_surprise,emotion_probability_sadness,emotion_probability_anger,emotion_probability_care_empathy,emotion_probability_fear,emotion_probability_disgust,emotion_probability_approval,emotion_probability_sarcasm,prediction_source,label_version
RF_POST_000001,විනිසුරුවරුන්ගේ විශ්රාම වයස සංශෝධනය කිරීම ඇතුළු කරුණු ඇතුළත් 22වන ආණ්ඩුක්රම ව්යවස්ථා සංශෝධන පනත් කෙටුම්පත ගැසට් කර තිබේ.,sinhala,eff1bea08d1c1a413e584360a0f58368b3162521d47da157b8cae7b2ab295898,train,51,8,1,16,1,0,2,79,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,neutral,uncertain,0.336655893691369,neutral,neutral,0.409731577683851,False,0.12876997813770136,0.409731577683851,0.3005379894751089,0.1609604547033387,0.5158883540714011,0.4757377767232608,0.4360339456655766,0.4133731888394929,0.4111679999483938,0.39378271177108637,0.3822547713427674,0.3960221966925087,0.38474959488696936,0.5091246562662003,0.4637008706190079,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000002,"පැය 24ක් යන්නත් පෙර බන්ධනාගාර තුනක් නොසන්සුන් වෙයි බොරැල්ල නව මැගසින්, කුරුවිට, මීගමුව පල්ලන්සේන",sinhala,22f9e9c97d0c6aed59650af04e73cab542f2e9a4938351df1a36d8087897c443,train,602,10,0,315,6,8,3,944,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.4944163019577451,negative,negative,0.637097302988765,False,0.637097302988765,0.24101268175974314,0.04738820773429232,0.07450180751719955,0.2646406379749722,0.28853077143338535,0.4703633462988878,0.30935433321757405,0.40365103185216755,0.42336114995424906,0.3537783966809275,0.33498797734412844,0.4318619171559133,0.29682458386721156,0.6201950246721634,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000003,පල්ලන්සේන තත්ත්වය පාලනයට කඳුළු ගෑස්,sinhala,c28d86ba00e8ca2f6551311ec1933daa0547f85679f301a626ab7c29f5321dfd,test,160,4,0,3,1,1,0,169,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.5621948175183009,negative,negative,0.4638998857088575,False,0.4638998857088575,0.416343115065695,0.057014772499605834,0.06274222672584179,0.2939167211718374,0.290441300610782,0.3635201559059708,0.32648653901285163,0.3594854497858717,0.38749709078846817,0.35307917774182307,0.33386645444186824,0.44201270147925004,0.32018376062146314,0.5709669327701333,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000004,පල්ලන්සේන බන්ධනාගාරයේ නොසන්සුන්තාවක් මේ වනවිට රැඳවියන් පිරිසක් වහලය මත නැග ඇති බව ද සඳහන්ය,sinhala,bcf9f3cfa020b706dd61d62f40817879f36969367ad55b713d67422294952a9d,train,326,1,0,177,4,9,8,525,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.5602972826240892,negative,negative,0.5805842503343913,False,0.5805842503343913,0.31078707069810074,0.04203957082936421,0.06658910813814373,0.24753918239363754,0.273430324437921,0.47508889027214113,0.3139348900450012,0.38592617427885034,0.4198119969099124,0.3465130176509318,0.34038106411235286,0.4300450089240021,0.27699093126747887,0.6016840858526511,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000005,පේරාදෙණිය විශ්වවිද්යාලයේ කටයුතු 10 වැනිදා සිට යළි ඇරඹෙයි,sinhala,659262edefeae1b12d1557bde62b40b8986dcdeeafbd148479483513ff8c6202,train,35,0,1,0,0,0,0,36,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.4045264235443205,negative,negative,0.5632270624460535,False,0.5632270624460535,0.24229654446769008,0.06952327195530043,0.12495312113095598,0.3046071396451441,0.2926978089563543,0.414898191482023,0.39092673409307543,0.4417124353350076,0.4009704337957783,0.3706820488163077,0.34642753586251224,0.45748466561089457,0.3273128069549832,0.5610533920128058,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000006,කුරුවිට බන්ධනාගාරයේ ගැටුමෙන් දෙදෙනෙකු මරුට,sinhala,82b9390ddfc2e593ff118d4db41f1ec2aeb623384b8c8723a0f97f14e84e42fd,train,1151,99,4,37,36,259,6,1592,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.4505350218284776,neutral,neutral,0.5909428745597981,False,0.24507922983831426,0.5909428745597981,0.044905978517822985,0.11907191708406452,0.28501348906711793,0.30482605989732414,0.3375664748160428,0.42198156882402155,0.44031101842126646,0.3903966839697283,0.42770584884249335,0.4184079262289747,0.41713917628424096,0.33158909836853995,0.48643861346296174,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000007,2025 වසරේ විස්සයි20 හොඳම පිතිකරු පැතුම් නිස්සංක ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,sinhala,89ae72a72afb070436af3e173fc15c2ff53a1b14c3421e64510dfcf5a44581ab,test,26,8,1,0,0,0,0,35,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,positive,positive,0.4399647100124746,positive,positive,0.4883730959600296,False,0.07622249119073099,0.2483322685598169,0.4883730959600296,0.18707214428942248,0.6036825332342566,0.5704753572413022,0.39484968801120324,0.48827771513079216,0.4273119401886696,0.40154328033294096,0.4589060139720632,0.4396937249742884,0.4116395194668604,0.6297279350890095,0.43113359167446363,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000008,දුෂ්මන්ත චමීර 2025 වසරේ විස්සයි20 හොඳම පන්දු යවන්නා ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,sinhala,1ea83ccf689b0d511fbab1396db4384422f1039e1448f6a2ca928d4792c2d482,train,55,13,2,1,0,0,0,71,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,positive,positive,0.5741005817220588,positive,positive,0.5513565407363988,False,0.10779616881840498,0.2039297033241056,0.5513565407363988,0.1369175871210906,0.6036719578224181,0.5827121316694525,0.396110859419748,0.44428583936253874,0.3876421379058306,0.3947931196251437,0.43568505716564393,0.4094298051320585,0.4141536957730156,0.6187797725939314,0.47077987176408237,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000009,වසරේ විශිෂ්ටතම ක්රීඩකයා පැතුම් නිස්සංක - ක්රීඩිකාව චමරි අතපත්තු ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,sinhala,0d2293ed58c8d8b3409f89e582a8426ffd90e1ac238a8a973c74bde3e8b72ca9,test,107,24,2,0,0,0,0,133,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,positive,positive,0.436888182663569,positive,positive,0.4439561297292066,False,0.18081879036495555,0.247374541073025,0.4439561297292066,0.12785053883281275,0.5390002339286928,0.538075078726455,0.38130580985029977,0.4134885239955931,0.3634156680858528,0.3917318594631304,0.4236186392693124,0.39388690602802606,0.42615666576022215,0.5688069100357563,0.4979902045160706,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000010,කුරුවිට බන්ධනාගාරයේ රැඳවියන් පිරිසක් අතරද අද (07) නොසන්සුන්කාරී තත්ත්වයක් හටගෙන තිබේ.,sinhala,851546a718aa3d3885ff739b68c82f3d917ad15a23eac58075767946342b70d3,train,167,1,1,68,2,3,1,243,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.6345573104143811,negative,negative,0.6104806849092284,False,0.6104806849092284,0.26446497411032865,0.052544329909448954,0.072510011070994,0.27329323082077683,0.2916192421629337,0.46162536926790426,0.31512694804621244,0.3983454586529425,0.41504692056895454,0.34899067580062815,0.33341662208808437,0.4308354969498452,0.2968925408411486,0.6077779684387803,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000011,දිනෙන් දින කල්දමමින් තිබෙන පළාත් සභා මැතිවරණය ඉක්මනින් පවත්වන්න ශ්රී ලංකාවේ නිල සංචාරයක නිරත ඉන්දීය විදේශ ලේකම් මෙරට බලධාරීන් හමුවේ ප්රකාශ කරයි,sinhala,913b0ec4219ecd05612f6a202e5e82176878edcc38b9b11730a31d16dfdd6370,test,75,1,0,52,0,0,0,128,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.6402740201619449,negative,negative,0.6552498039804634,False,0.6552498039804634,0.17304093838811369,0.08121430757952401,0.09049495005189888,0.30991975146823103,0.3349551728982888,0.5160480473424776,0.3170507032624364,0.42112638028762106,0.4284942081540207,0.3537672109845894,0.33553341361319483,0.4318798882168454,0.31784725201187103,0.6303663454980989,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000012,බාල දක්ෂයෝ ලක්ෂයක් හෙට සිට ගෙන් ගෙට එනවා,sinhala,b4cf920016399b4a67e5e90c263be98e4383c8ce360ddd8c67f5724f564eed9d,validation,240,76,4,3,2,0,0,325,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,positive,positive,0.549865776951002,positive,positive,0.5339923398556882,False,0.1270330896058495,0.2221433262192323,0.5339923398556882,0.11683124431923002,0.5861779869388596,0.5779522407391504,0.3750034540458897,0.43463700387271925,0.3497343859801066,0.39505852749535364,0.4301695750745688,0.4047969870087612,0.4180298535199233,0.6150727531356852,0.48545653870122163,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000013,සත්ව පනත හේතුවෙන් පෙරහරට අලි ඇතුන් ගැනීම ගැටලුවක් මල්වතු මහ නා හිමියන් වහන්සේ,sinhala,78c5f9f72817f5adea990af1472871e716a32fe8455fe54d79ee7018446c9658,test,577,8,1,398,4,37,10,1035,legacy_source,legacy_collected_unverified,legacy_collected_unverified,human_adjudicated_development,neutral,negative,negative,0.5143339477695923,negative,negative,0.6415741772333552,False,0.6415741772333552,0.2231427146383104,0.043735004914598724,0.09154810321373565,0.25983701166310186,0.2891358139081562,0.4956685437859067,0.33067490846095243,0.4064623441508193,0.4370997548670661,0.3624696454110889,0.3559017964514635,0.42628967864275874,0.29229821242411874,0.6133485358042794,repeated_grouped_human_oof,reactionfusion_neural_combined_v5_development
RF_POST_000014,"මහ නගර සභාවට වරිපනම් නොගෙ වූ කොළඹ 7 ඉඩම් 30 පවරා ගන්න යනවා කොළඹ කොටුව දේපළ58 ක් ,වැල්ලවත්තේ දේපළ 67ක් කෝටි ගණන් දේපළ ඒ අතර",sinhala,cf009ce315a149434c57f0e800f7b09c76f726d183d80d5fb3c7ed35feb62231,train,841,187,7,7,5,2,0,1049,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,positive,uncertain,0.3474956449046241,positive,uncertain,0.3278612008148747,True,0.25581840780046355,0.28781020597638124,0.3278612008148747,0.12851018540828044,0.48840919115022385,0.49288277142790127,0.36430372543921047,0.40497975757250415,0.355617329125219,0.39255907525175304,0.4191986196872892,0.388840658867363,0.43060090409300483,0.5393146593826853,0.5207902738521129,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000015,වයස අවුරුදු 50 සහ ඊට වැඩි වැඩිහිටියන් සඳහා ලොව ප්රථම වරට mRNA-පාදක සාමාන්ය සෘතුමය උණ එන්නත සඳහා අමෙරිකානු ආහාර හා ඖෂධ පරිපාලනය විසින් නිල අනුමැතිය ලබා දී තිබේ.,mixed,386d258ea90f0fb83d764f1354bbb0be170eb8211a8ac8bc4cc42b14c45dd532,validation,80,1,0,0,0,0,0,81,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.5903646319299273,negative,negative,0.47717139449114415,False,0.47717139449114415,0.4023149631241263,0.05647734242495452,0.06403629995977494,0.2902276294238363,0.28727959977069195,0.364902228202771,0.3300569556911328,0.3626322631256592,0.3863021958425516,0.35211317777564954,0.3317051061255533,0.44705619675953034,0.3131931644958946,0.5688973401608137,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
RF_POST_000016,ගොවි විරෝධය සාධාරණයි! නිෂ්පාදන අලෙවි ගැටලු තිබෙනවා. කෘෂිකර්ම අමාත්ය කේඩී ලාල්කාන්ත,sinhala,fb449f1b2de61d044c06a50c71371569f13adc6a8bc9c8c5e3ee0dead4a5bb0b,train,60,0,0,34,0,0,0,94,legacy_source,legacy_collected_unverified,legacy_collected_unverified,none,,negative,negative,0.6571117048126722,negative,negative,0.6592139998569283,False,0.6592139998569283,0.1917100968915634,0.06685509090664817,0.0822208123448601,0.2926612355445033,0.3152947294512608,0.49791780014309495,0.31838478878488974,0.41703363497357937,0.42333154240183635,0.34954306678219266,0.33217438073082234,0.43476310672559215,0.303867582849594,0.6233957664073593,final_provenance_weighted_model,reactionfusion_neural_combined_v5_development
